2026-06-23 01:36:53.007 | INFO     | server:api_ask:38 - API request: 'how does fever happens' web_search=False
2026-06-23 01:49:31.838 | DEBUG    | config:_call:161 - Empty content. Full response object: AIMessage(content='', additional_kwargs={'refusal': None}, response_metadata={'token_usage': {'completion_tokens': 1024, 'prompt_tokens': 297, 'total_tokens': 1321, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 1150, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0, 'upstream_inference_prompt_cost': 0, 'upstream_inference_completions_cost': 0}}, 'model_name': 'liquid/lfm-2.5-1.2b-thinking-20260120:free', 'system_fingerprint': None, 'finish_reason': 'length', 'logprobs': None}, id='run--7bf76c69-4007-48e2-b378-8888f881fcdd-0', usage_metadata={'input_tokens': 297, 'output_tokens': 1024, 'total_tokens': 1321, 'input_token_details': {'audio': 0, 'cache_read': 0}, 'output_token_details': {'audio': 0, 'reasoning': 1150}})
2026-06-23 01:49:31.838 | WARNING  | config:<lambda>:144 - LLM call failed (attempt 1/5): ValueError: LLM returned empty/invalid content (got: ''). Treating as a transient failure to trigger retry. -- retrying in 4.0s...
2026-06-23 01:49:37.442 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.12]: relevant — Passage discusses hypertension guidelines for the general adult population, which is relevant to determining blood pressure targets.
2026-06-23 01:50:05.261 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.27]: relevant — Passage provides specific blood pressure target recommendations for adults with hypertension.
2026-06-23 01:50:05.263 | INFO     | rag_pipeline.self_rag:self_rag_pipeline:201 - Relevance filtering: 3/3 chunks kept for query 'What blood pressure target should be used for most adults?'
2026-06-23 01:50:31.766 | WARNING  | config:<lambda>:144 - LLM call failed (attempt 1/5): RateLimitError: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1782172800000'}, 'provider_name': None, 'previous_errors': [{'code': 429, 'message': 'Provider returned error', 'provider_name': 'Venice', 'raw': 'cognitivecomputations/dolphin-mistral-24b-venice-edition:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}, {'code': 429, 'message': 'Provider returned error', 'provider_name': 'Venice', 'raw': 'meta-llama/llama-3.2-3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations'}, {'code': 429, 'message': 'Provider returned error', 'provider_name': 'Venice', 'raw': 'meta-llama/llama-3.3-70b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}, {'code': 429, 'message': 'Provider returned error', 'provider_name': 'Venice', 'raw': 'qwen/qwen3-coder:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}]}}, 'user_id': 'user_3FOh2DojUbnP5ZzVYKOuQRxaGdX'} -- retrying in 4.0s...
2026-06-23 01:51:46.781 | WARNING  | config:<lambda>:144 - LLM call failed (attempt 1/5): RateLimitError: Error code: 429 - {'error': {'message': 'Provider returned error', 'code': 429, 'metadata': {'raw': 'nousresearch/hermes-3-llama-3.1-405b:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations', 'provider_name': 'Venice', 'is_byok': False, 'retry_after_seconds': 24, 'retry_after_seconds_raw': 23.837, 'previous_errors': [{'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}, {'code': 429, 'message': 'Provider returned error', 'provider_name': 'Venice', 'raw': 'qwen/qwen3-coder:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations'}, {'code': 429, 'message': 'Provider returned error', 'provider_name': 'Venice', 'raw': 'qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}, {'code': 429, 'message': 'Provider returned error', 'provider_name': 'Venice', 'raw': 'cognitivecomputations/dolphin-mistral-24b-venice-edition:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}, {'code': 429, 'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day'}]}}, 'user_id': 'user_3FOh2DojUbnP5ZzVYKOuQRxaGdX'} -- retrying in 4.0s...
2026-06-23 01:52:35.856 | INFO     | rag_pipeline.self_rag:check_support:156 - Support check: fully_supported — The answer matches the target BP recommendation for patients without comorbidities as stated in Source 2.
2026-06-23 01:52:41.258 | INFO     | rag_pipeline.graph:ask:216 - === Query complete ===
2026-06-23 13:07:11.208 | INFO     | __main__:ingest_documents:69 - Loading PDFs from data/pdfs...
2026-06-23 13:07:51.136 | INFO     | __main__:ingest_documents:72 - Loaded 354 pages from 4 PDF(s).
2026-06-23 13:07:51.222 | INFO     | __main__:ingest_documents:80 - Split into 2202 chunks (size=512, overlap=64).
2026-06-23 13:12:07.703 | INFO     | __main__:ingest_documents:69 - Loading PDFs from data/pdfs...
2026-06-23 13:12:42.540 | INFO     | __main__:ingest_documents:72 - Loaded 354 pages from 4 PDF(s).
2026-06-23 13:12:42.672 | INFO     | __main__:ingest_documents:80 - Split into 2202 chunks (size=512, overlap=64).
2026-06-23 13:28:47.366 | INFO     | __main__:ingest_documents:69 - Loading PDFs from data/pdfs...
2026-06-23 13:29:24.455 | INFO     | __main__:ingest_documents:72 - Loaded 354 pages from 4 PDF(s).
2026-06-23 13:29:24.573 | INFO     | __main__:ingest_documents:80 - Split into 2202 chunks (size=512, overlap=64).
2026-06-23 13:37:17.270 | INFO     | __main__:ingest_documents:69 - Loading PDFs from data/pdfs...
2026-06-23 13:37:58.833 | INFO     | __main__:ingest_documents:72 - Loaded 354 pages from 4 PDF(s).
2026-06-23 13:37:58.955 | INFO     | __main__:ingest_documents:80 - Split into 2202 chunks (size=512, overlap=64).
2026-06-23 13:41:36.245 | INFO     | __main__:ingest_documents:69 - Loading PDFs from data/pdfs...
2026-06-23 13:42:08.109 | INFO     | __main__:ingest_documents:72 - Loaded 354 pages from 4 PDF(s).
2026-06-23 13:42:08.219 | INFO     | __main__:ingest_documents:80 - Split into 2202 chunks (size=512, overlap=64).
2026-06-23 13:42:09.904 | INFO     | __main__:_ensure_collection:50 - Created collection 'clinical_docs' (dim=384).
2026-06-23 13:42:09.904 | INFO     | config:get_embedder:213 - Loading embedding model: all-MiniLM-L6-v2
2026-06-23 13:42:34.957 | INFO     | __main__:ingest_documents:119 - Upserted batch 1 (64/2202 chunks so far)...
2026-06-23 13:42:39.335 | INFO     | __main__:ingest_documents:119 - Upserted batch 2 (128/2202 chunks so far)...
2026-06-23 13:42:47.270 | INFO     | __main__:ingest_documents:119 - Upserted batch 3 (192/2202 chunks so far)...
2026-06-23 13:43:01.300 | INFO     | __main__:ingest_documents:119 - Upserted batch 4 (256/2202 chunks so far)...
2026-06-23 13:43:11.858 | INFO     | __main__:ingest_documents:119 - Upserted batch 5 (320/2202 chunks so far)...
2026-06-23 13:43:18.753 | INFO     | __main__:ingest_documents:119 - Upserted batch 6 (384/2202 chunks so far)...
2026-06-23 13:43:27.464 | INFO     | __main__:ingest_documents:119 - Upserted batch 7 (448/2202 chunks so far)...
2026-06-23 13:43:40.615 | INFO     | __main__:ingest_documents:119 - Upserted batch 8 (512/2202 chunks so far)...
2026-06-23 13:43:54.029 | INFO     | __main__:ingest_documents:119 - Upserted batch 9 (576/2202 chunks so far)...
2026-06-23 13:44:08.088 | INFO     | __main__:ingest_documents:119 - Upserted batch 10 (640/2202 chunks so far)...
2026-06-23 13:44:17.832 | INFO     | __main__:ingest_documents:119 - Upserted batch 11 (704/2202 chunks so far)...
2026-06-23 13:44:26.921 | INFO     | __main__:ingest_documents:119 - Upserted batch 12 (768/2202 chunks so far)...
2026-06-23 13:44:37.031 | INFO     | __main__:ingest_documents:119 - Upserted batch 13 (832/2202 chunks so far)...
2026-06-23 13:44:43.286 | INFO     | __main__:ingest_documents:119 - Upserted batch 14 (896/2202 chunks so far)...
2026-06-23 13:44:49.214 | INFO     | __main__:ingest_documents:119 - Upserted batch 15 (960/2202 chunks so far)...
2026-06-23 13:44:57.921 | INFO     | __main__:ingest_documents:119 - Upserted batch 16 (1024/2202 chunks so far)...
2026-06-23 13:45:06.955 | INFO     | __main__:ingest_documents:119 - Upserted batch 17 (1088/2202 chunks so far)...
2026-06-23 13:45:13.525 | INFO     | __main__:ingest_documents:119 - Upserted batch 18 (1152/2202 chunks so far)...
2026-06-23 13:45:23.851 | INFO     | __main__:ingest_documents:119 - Upserted batch 19 (1216/2202 chunks so far)...
2026-06-23 13:45:31.254 | INFO     | __main__:ingest_documents:119 - Upserted batch 20 (1280/2202 chunks so far)...
2026-06-23 13:45:40.823 | INFO     | __main__:ingest_documents:119 - Upserted batch 21 (1344/2202 chunks so far)...
2026-06-23 13:45:52.583 | INFO     | __main__:ingest_documents:119 - Upserted batch 22 (1408/2202 chunks so far)...
2026-06-23 13:46:05.790 | INFO     | __main__:ingest_documents:119 - Upserted batch 23 (1472/2202 chunks so far)...
2026-06-23 13:46:14.050 | INFO     | __main__:ingest_documents:119 - Upserted batch 24 (1536/2202 chunks so far)...
2026-06-23 13:46:32.560 | INFO     | __main__:ingest_documents:119 - Upserted batch 25 (1600/2202 chunks so far)...
2026-06-23 13:46:41.672 | INFO     | __main__:ingest_documents:119 - Upserted batch 26 (1664/2202 chunks so far)...
2026-06-23 13:46:47.909 | INFO     | __main__:ingest_documents:119 - Upserted batch 27 (1728/2202 chunks so far)...
2026-06-23 13:46:56.921 | INFO     | __main__:ingest_documents:119 - Upserted batch 28 (1792/2202 chunks so far)...
2026-06-23 13:47:07.852 | INFO     | __main__:ingest_documents:119 - Upserted batch 29 (1856/2202 chunks so far)...
2026-06-23 13:47:23.396 | INFO     | __main__:ingest_documents:119 - Upserted batch 30 (1920/2202 chunks so far)...
2026-06-23 13:47:33.590 | INFO     | __main__:ingest_documents:119 - Upserted batch 31 (1984/2202 chunks so far)...
2026-06-23 13:47:42.114 | INFO     | __main__:ingest_documents:119 - Upserted batch 32 (2048/2202 chunks so far)...
2026-06-23 13:47:48.156 | INFO     | __main__:ingest_documents:119 - Upserted batch 33 (2112/2202 chunks so far)...
2026-06-23 13:47:54.662 | INFO     | __main__:ingest_documents:119 - Upserted batch 34 (2176/2202 chunks so far)...
2026-06-23 13:47:58.851 | INFO     | __main__:ingest_documents:119 - Upserted batch 35 (2202/2202 chunks so far)...
2026-06-23 13:47:58.851 | SUCCESS  | __main__:ingest_documents:124 - Ingestion complete. 2202 chunks indexed into 'clinical_docs' from 4 source file(s).
2026-06-23 13:48:01.967 | INFO     | __main__:<module>:137 - Summary: {'total_chunks': 2202, 'sources': ['data\\pdfs\\comorbidities.pdf', 'data\\pdfs\\hiv.pdf', 'data\\pdfs\\hypertension.pdf', 'data\\pdfs\\tb.pdf'], 'collection': 'clinical_docs'}
2026-06-23 13:50:31.557 | INFO     | __main__:<module>:10 - Step 1/3 — testing OpenRouter LLM connection...
2026-06-23 13:50:40.244 | SUCCESS  | __main__:<module>:12 - LLM responded: OK
2026-06-23 13:50:40.244 | INFO     | __main__:<module>:14 - Step 2/3 — testing local embedder...
2026-06-23 13:50:40.244 | INFO     | config:get_embedder:213 - Loading embedding model: all-MiniLM-L6-v2
2026-06-23 13:50:45.070 | SUCCESS  | __main__:<module>:16 - Embedding generated, length = 384 (expected 384)
2026-06-23 13:50:45.070 | INFO     | __main__:<module>:19 - Step 3/3 — testing Qdrant connection...
2026-06-23 13:50:46.250 | SUCCESS  | __main__:<module>:22 - Qdrant connected. Existing collections: [CollectionDescription(name='clinical_docs')]
2026-06-23 13:50:46.250 | SUCCESS  | __main__:<module>:24 - All systems go. Ready for Step 2 (data ingestion).
