2026-06-22 00:49:25.900 | INFO     | __main__:<module>:9 - Step 1/3 — testing OpenRouter LLM connection...
2026-06-22 09:37:53.635 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.27]: relevant — The passage provides a blood pressure target of <130 mmHg for high-risk patients, which is relevant to determining treatment goals for adults with hypertension.
2026-06-22 09:38:13.188 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.8]: irrelevant — Passage mentions target blood pressure but does not specify the actual target value for most adults.
2026-06-22 09:38:16.090 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.55]: relevant — The passage specifies exact blood pressure thresholds for treatment.
2026-06-22 09:38:16.095 | INFO     | rag_pipeline.self_rag:self_rag_pipeline:201 - Relevance filtering: 4/5 chunks kept for query 'What blood pressure target should be used for most adults?'
2026-06-22 09:38:35.762 | INFO     | rag_pipeline.self_rag:check_support:156 - Support check: fully_supported — The answer accurately reflects the recommendation in Source 2 for patients without comorbidities.
2026-06-22 09:38:38.639 | INFO     | rag_pipeline.graph:ask:180 - === Query complete ===
2026-06-22 09:40:22.910 | INFO     | server:api_ask:46 - API request: 'what is blood sugar'
2026-06-22 09:40:22.910 | INFO     | rag_pipeline.graph:ask:178 - === New query: 'what is blood sugar' ===
2026-06-22 09:40:23.578 | WARNING  | rag_pipeline.graph:input_guard_node:56 - Input blocked: Query does not appear to be a clinical question.
2026-06-22 09:40:23.584 | INFO     | rag_pipeline.graph:ask:180 - === Query complete ===
2026-06-22 09:40:45.555 | INFO     | server:api_ask:46 - API request: 'what is blood pressure'
2026-06-22 09:40:45.555 | INFO     | rag_pipeline.graph:ask:178 - === New query: 'what is blood pressure' ===
2026-06-22 09:40:47.432 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:123 - Hybrid retrieve for query: 'what is blood pressure' (top_k=20)
2026-06-22 09:40:51.235 | DEBUG    | retrieval.hyde:hyde_embed:52 - HyDE passage for 'what is blood pressure': Blood pressure is the force exerted by circulating blood against the walls of arteries, measured as systolic (peak press...
2026-06-22 09:40:53.266 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:171 - Hybrid retrieve returned 20 docs (dense_hits=20, sparse_hits=20, union=32). HyDE passage used: 'Blood pressure is the force exerted by circulating blood against the walls of ar...'
2026-06-22 09:40:54.872 | DEBUG    | retrieval.reranker:rerank:70 - Re-ranking changed top-5 order.
  Before (RRF order):     ['hypertension.pdf p.12', 'hypertension.pdf p.55', 'hypertension.pdf p.27', 'hypertension.pdf p.10', 'hypertension.pdf p.8']
  After (cross-encoder):  ['hypertension.pdf p.12', 'hypertension.pdf p.12', 'hypertension.pdf p.12', 'hypertension.pdf p.27', 'hypertension.pdf p.18']
2026-06-22 09:40:54.880 | INFO     | rag_pipeline.graph:retrieve_node:65 - Retrieved + reranked 5 candidate docs for: 'what is blood pressure'
2026-06-22 09:40:57.000 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.27]: relevant — The passage defines target blood pressure values, directly addressing the query about blood pressure.
2026-06-22 09:40:57.399 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.12]: relevant — The passage defines blood pressure, directly answering the query.
2026-06-22 09:40:58.217 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.18]: relevant — The passage discusses systolic blood pressure levels and their clinical implications, directly addressing the query about blood pressure.
2026-06-22 09:40:58.266 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.12]: relevant — The passage defines blood pressure as the pressure in blood vessels during heart contraction and relaxation, directly answering the query.
2026-06-22 09:41:06.635 | DEBUG    | rag_pipeline.self_rag:grade_relevance:121 - Relevance check [hypertension.pdf p.12]: relevant — The passage addresses blood pressure management.
2026-06-22 09:41:06.635 | INFO     | rag_pipeline.self_rag:self_rag_pipeline:201 - Relevance filtering: 5/5 chunks kept for query 'what is blood pressure'
2026-06-22 09:41:35.624 | INFO     | rag_pipeline.self_rag:check_support:156 - Support check: fully_supported — The summary aligns with the source text.
2026-06-22 09:41:36.146 | INFO     | rag_pipeline.graph:ask:180 - === Query complete ===
2026-06-22 09:44:35.391 | INFO     | server:api_ask:46 - API request: 'what is tb'
2026-06-22 09:44:35.408 | INFO     | rag_pipeline.graph:ask:178 - === New query: 'what is tb' ===
2026-06-22 09:44:36.112 | WARNING  | rag_pipeline.graph:input_guard_node:56 - Input blocked: Query does not appear to be a clinical question.
2026-06-22 09:44:36.112 | INFO     | rag_pipeline.graph:ask:180 - === Query complete ===
2026-06-22 09:45:02.123 | INFO     | server:api_ask:46 - API request: 'what causes blood pressure'
2026-06-22 09:45:02.124 | INFO     | rag_pipeline.graph:ask:178 - === New query: 'what causes blood pressure' ===
2026-06-22 09:45:02.680 | DEBUG    | retrieval.hybrid_retrieval:hybrid_retrieve:123 - Hybrid retrieve for query: 'what causes blood pressure' (top_k=20)
2026-06-22 09:46:06.075 | WARNING  | config:<lambda>:141 - LLM call failed (attempt 1/5): APITimeoutError: Request timed out. -- retrying in 4.0s...
2026-06-22 09:47:13.288 | WARNING  | config:<lambda>:141 - LLM call failed (attempt 2/5): APITimeoutError: Request timed out. -- retrying in 4.0s...
2026-06-22 09:48:20.617 | WARNING  | config:<lambda>:141 - LLM call failed (attempt 3/5): APITimeoutError: Request timed out. -- retrying in 8.0s...
2026-06-22 09:49:31.846 | WARNING  | config:<lambda>:141 - LLM call failed (attempt 4/5): APITimeoutError: Request timed out. -- retrying in 16.0s...
